movie_sid,movie_name,movie_score,movie_time,movie_style,movie_director
34894753,沐浴之王,6.0,2020-12-11(中国大陆),喜剧,彭昱畅 乔杉 卜冠今 苇青 金世佳 洪剑涛 房子斌 张本煜 黄垲翔 朱时茂 沈南 桑平 白客 柯达 刘循子墨 巴多 孔连顺 李建义 闫校文 王英鉴 谢杨言木 郭纯
27099227,脱口秀大会 第一季,6.8,2017-08-11(中国大陆),脱口秀,张绍刚 李诞 池子 大张伟 柳岩 倪萍 李天佑 杜海涛 黄绮珊 李艺彤 吴昕 何洁 撒贝宁 胡彦斌 张馨予 俞灏明 大鹏 沈梦辰 张召忠 欧阳靖 王琳 王刚 潘粤明 苏醒 王建国 王思文 庞博 臧鸿飞 张博洋 穷小疯 韦若琛 江梓浩 王勉 陈晓靖 史炎 吴星辰
25899362,奔跑吧兄弟 第一季,7.6,2014-10-10(中国大陆),真人秀,邓超 王祖蓝 王宝强 陈赫 郑恺 杨颖 李晨 欧弟 伊一 张蓝心 黄灿灿 于震 孙杨 唐艺昕 窦骁 陈羽凡 赵丽颖 金钟国 熊黛林 宋智孝 河东勋 池石镇 林俊杰 马苏 张歆艺 关喆 李光洙 王心凌 沈凌 古力娜扎 郭彦甫 袁弘 谢依霖 胡海泉 陈建州 郭京飞 王丽坤 吴映洁 白百何
5194471,画壁,4.8,2011-09-29(中国大陆),剧情 动作 爱情 奇幻,邓超 孙俪 闫妮 柳岩 谢楠 邹兆龙 包贝尔 曾志伟 莫小奇 安志杰 包文婧 夏一瑶 蓝盈莹 元莹 杨子淇 张辉 金雨淳 邱晔 李宛真
30214439,我就是演员,6.6,2018-09-08(中国大陆),真人秀,章子怡 徐峥 吴秀波 张国立 伊一 刘天池 陈凯歌 许鞍华 贾樟柯 陆川 陈冲 于和伟 刘嘉玲 胡玫 惠英红 关锦鹏 李立群 谢娜 沈腾 徐娇 胡先煦 任素汐 左小青 杜淳 宋洋 张馨予 张钧甯 阚清子 徐璐 涂松岩 齐溪 斓曦 王媛可 杨蓉 金世佳 宋轶 孙茜 张小斐 李小萌 李倩 李兰迪 韩雪 李纯 何泓姗 杨迪 张含韵 曹炳琨 王茂蕾 海陆 蒋梦婕 张新成 李念 王晓晨 郭麒麟 经超 曹骏 薛佳凝 曹曦文 王阳 刘欢 林鹏 李晟 沈春阳 杜若溪 孙坚 张萌 檀健次 江铠同 房子斌 范湉湉 张植绿 何杜娟 邵伟桐 印小天 韩栋 贾晨飞 于小彤 刘雅瑟 高晓菲 田原 王婉娟 严屹宽 小沈阳 黄维德 保剑锋 彭冠英 李佳璘 张纪中 高曙光 刘畅 刘天佐 李天柱 孙桂田 王迅 寇振海 冯嘉怡 黄俊鹏 柴蔚 刘晓晔 宁文彤 沈保平 何念 韩宇辰 吴正强 俞馨妍 郑颖娴 姜瑞霖 俞灏明 王洛勇 李勤勤 郭涛 李光复 黄才伦 李雨轩 翟天临
34840339,脱口秀大会 第三季,7.9,2020-07-22(中国大陆),脱口秀,李诞 王思文 王建国 张雨绮 罗永浩 庞博 呼兰 杨蒙恩 李雪琴 程璐 秦昊 沈腾 徐峥 大张伟 杨天真 汪苏泷 周奇墨 李云迪 黄圣依 王勉 吐提古丽·热杰 诺拉 马思纯 梁海源 胡豆豆 皮球 赵晓卉 江梓浩 孟川 杨磊 杨笠 王俊霖 何广智 潘越 小北 杨波 吴星辰 陈晓靖 颜悦 颜怡 张博洋
1301168,卧虎藏龙 臥虎藏龍,8.3,2000-10-13(中国大陆),剧情 爱情 武侠,周润发 杨紫琼 章子怡 张震 郎雄 郑佩佩 李法曾 高西安 海燕 王德明 李黎 黄素影 张金庭 杨蕊 李凯 冯建华 杜振西 徐成林 林峰 王文升 宋东 马中轩 李保成 杨永德 张少军 马宁 褚建民 董长生 徐怡 斌子 张少成 魏晶琦 黄伟辉 林志泰
35307435,八角亭谜雾,5.6,2021-10-13(中国大陆),悬疑 家庭 犯罪,段奕宏 郝蕾 祖峰 吴越 邢岷山 白宇帆 米拉 李煜 迟嘉 屠芷莹 温峥嵘 艾丽娅 王子子 赵燕国彰 陶红 翟子路 戴军 黄小蕾 傅亨 徐程 王小帅 冯波 邓友 许毛毛 方文强 张衣 宁南 贺子建
34852234,海大鱼,3.8,2020-10-30(中国大陆网络),奇幻 古装,韩栋 张予曦 肖向飞 贾征宇 邓郁立 闵春晓 姜京佐
2154096,士兵突击,9.4,2006-12-24(中国大陆),剧情,王宝强 陈思诚 段奕宏 张译 邢佳栋 张国强 李晨 范雷 高峰 罗京民 王大治 刘天佐 李泓良 李博 左腾云 曹克难 陈文波 李京 李胜荣 王国强 尚雨哲 赵志君 马艺家 张兵海 刁海明
